Index,Symbol
Nifty Smallcap 50,SUNTV
Nifty Smallcap 50,CUB
Nifty Smallcap 50,AMARAJABAT
Nifty Smallcap 50,UNIONBANK
Nifty Smallcap 50,GODREJAGRO
Nifty Smallcap 50,GODREJIND
Nifty Smallcap 50,SKFINDIA
Nifty Smallcap 50,LICHSGFIN
Nifty Smallcap 50,HEXAWARE
Nifty Smallcap 50,SYNGENE
Nifty Smallcap 50,ABCAPITAL
Nifty Smallcap 50,PNBHOUSING
Nifty Smallcap 50,NAM-INDIA
Nifty Smallcap 50,MGL
Nifty Smallcap 50,BLUEDART
Nifty Smallcap 50,VGUARD
Nifty Smallcap 50,HATSUN
Nifty Smallcap 50,EMAMILTD
Nifty Smallcap 50,TATACONSUM
Nifty Smallcap 50,ASTRAL
Nifty Smallcap 50,BATAINDIA
Nifty Smallcap 50,WHIRLPOOL
Nifty Smallcap 50,PIIND
Nifty Smallcap 50,BALKRISIND
Nifty Smallcap 50,CRISIL
Nifty Smallcap 50,GUJGASLTD
Nifty Smallcap 50,IBULHSGFIN
Nifty Smallcap 50,RBLBANK
Nifty Smallcap 50,COROMANDEL
Nifty Smallcap 50,HUDCO
Nifty Smallcap 50,LALPATHLAB
Nifty Smallcap 50,ADANIPOWER
Nifty Smallcap 50,AJANTPHARM
Nifty Smallcap 50,WABCOINDIA
Nifty Smallcap 50,ALKEM
Nifty Smallcap 50,IDFCFIRSTB
Nifty Smallcap 50,SUPREMEIND
Nifty Smallcap 50,ATUL
Nifty Smallcap 50,SCHAEFFLER
Nifty Smallcap 50,PFIZER
Nifty Smallcap 50,CANBK
Nifty Smallcap 50,GMRINFRA
Nifty Smallcap 50,BAYERCROP
Nifty Smallcap 50,AIAENG
Nifty Smallcap 50,TRENT
Nifty Smallcap 50,SHRIRAMCIT
Nifty Smallcap 50,AKZOINDIA
Nifty Smallcap 50,INDHOTEL
Nifty Smallcap 50,TVSMOTOR
Nifty Smallcap 50,RAJESHEXPO
Nifty Smallcap 50,VINATIORGA
Nifty Smallcap 50,THERMAX
Nifty Smallcap 50,SRF
Nifty Smallcap 50,RELAXO
Nifty Smallcap 50,KANSAINER
Nifty Smallcap 50,ERIS
Nifty Smallcap 50,NATCOPHARM
Nifty Smallcap 50,AARTIIND
Nifty Smallcap 50,TORNTPOWER
Nifty Smallcap 50,BBTC
Nifty Smallcap 50,ABFRL
Nifty Smallcap 50,SYMPHONY
Nifty Smallcap 50,EXIDEIND
Nifty Smallcap 50,JUBLFOOD
